5	0	0.75	0.1	1
10	0	0.75	0.1	1
5	1	0.75	0.1	1
10	1	0.75	0.1	1
5	0	1	0.1	1
10	0	1	0.1	1
5	1	1	0.1	1
10	1	1	0.1	1
5	0	1.25	0.1	1
10	0	1.25	0.1	1
5	1	1.25	0.1	1
10	1	1.25	0.1	1
5	0	0.75	0.2	1
10	0	0.75	0.2	1
5	1	0.75	0.2	1
10	1	0.75	0.2	1
5	0	1	0.2	1
10	0	1	0.2	1
5	1	1	0.2	1
10	1	1	0.2	1
5	0	1.25	0.2	1
10	0	1.25	0.2	1
5	1	1.25	0.2	1
10	1	1.25	0.2	1
5	0	0.75	0.25	1
10	0	0.75	0.25	1
5	1	0.75	0.25	1
10	1	0.75	0.25	1
5	0	1	0.25	1
10	0	1	0.25	1
5	1	1	0.25	1
10	1	1	0.25	1
5	0	1.25	0.25	1
10	0	1.25	0.25	1
5	1	1.25	0.25	1
10	1	1.25	0.25	1
5	0	0.75	0.1	1.1
10	0	0.75	0.1	1.1
5	1	0.75	0.1	1.1
10	1	0.75	0.1	1.1
5	0	1	0.1	1.1
10	0	1	0.1	1.1
5	1	1	0.1	1.1
10	1	1	0.1	1.1
5	0	1.25	0.1	1.1
10	0	1.25	0.1	1.1
5	1	1.25	0.1	1.1
10	1	1.25	0.1	1.1
5	0	0.75	0.2	1.1
10	0	0.75	0.2	1.1
5	1	0.75	0.2	1.1
10	1	0.75	0.2	1.1
5	0	1	0.2	1.1
10	0	1	0.2	1.1
5	1	1	0.2	1.1
10	1	1	0.2	1.1
5	0	1.25	0.2	1.1
10	0	1.25	0.2	1.1
5	1	1.25	0.2	1.1
10	1	1.25	0.2	1.1
5	0	0.75	0.25	1.1
10	0	0.75	0.25	1.1
5	1	0.75	0.25	1.1
10	1	0.75	0.25	1.1
5	0	1	0.25	1.1
10	0	1	0.25	1.1
5	1	1	0.25	1.1
10	1	1	0.25	1.1
5	0	1.25	0.25	1.1
10	0	1.25	0.25	1.1
5	1	1.25	0.25	1.1
10	1	1.25	0.25	1.1
5	0	0.75	0.1	1.25
10	0	0.75	0.1	1.25
5	1	0.75	0.1	1.25
10	1	0.75	0.1	1.25
5	0	1	0.1	1.25
10	0	1	0.1	1.25
5	1	1	0.1	1.25
10	1	1	0.1	1.25
5	0	1.25	0.1	1.25
10	0	1.25	0.1	1.25
5	1	1.25	0.1	1.25
10	1	1.25	0.1	1.25
5	0	0.75	0.2	1.25
10	0	0.75	0.2	1.25
5	1	0.75	0.2	1.25
10	1	0.75	0.2	1.25
5	0	1	0.2	1.25
10	0	1	0.2	1.25
5	1	1	0.2	1.25
10	1	1	0.2	1.25
5	0	1.25	0.2	1.25
10	0	1.25	0.2	1.25
5	1	1.25	0.2	1.25
10	1	1.25	0.2	1.25
5	0	0.75	0.25	1.25
10	0	0.75	0.25	1.25
5	1	0.75	0.25	1.25
10	1	0.75	0.25	1.25
5	0	1	0.25	1.25
10	0	1	0.25	1.25
5	1	1	0.25	1.25
10	1	1	0.25	1.25
5	0	1.25	0.25	1.25
10	0	1.25	0.25	1.25
5	1	1.25	0.25	1.25
10	1	1.25	0.25	1.25
5	0	0.75	0.1	1.5
10	0	0.75	0.1	1.5
5	1	0.75	0.1	1.5
10	1	0.75	0.1	1.5
5	0	1	0.1	1.5
10	0	1	0.1	1.5
5	1	1	0.1	1.5
10	1	1	0.1	1.5
5	0	1.25	0.1	1.5
10	0	1.25	0.1	1.5
5	1	1.25	0.1	1.5
10	1	1.25	0.1	1.5
5	0	0.75	0.2	1.5
10	0	0.75	0.2	1.5
5	1	0.75	0.2	1.5
10	1	0.75	0.2	1.5
5	0	1	0.2	1.5
10	0	1	0.2	1.5
5	1	1	0.2	1.5
10	1	1	0.2	1.5
5	0	1.25	0.2	1.5
10	0	1.25	0.2	1.5
5	1	1.25	0.2	1.5
10	1	1.25	0.2	1.5
5	0	0.75	0.25	1.5
10	0	0.75	0.25	1.5
5	1	0.75	0.25	1.5
10	1	0.75	0.25	1.5
5	0	1	0.25	1.5
10	0	1	0.25	1.5
5	1	1	0.25	1.5
10	1	1	0.25	1.5
5	0	1.25	0.25	1.5
10	0	1.25	0.25	1.5
5	1	1.25	0.25	1.5
10	1	1.25	0.25	1.5
